title,author,journal,number,cites,year_pre_clean,cid,pubid,author_orig,year
"3D movies for teaching seafloor bathymetry, plate tectonics, and ocean circulation in large undergraduate classes","CD Peterson, LE Lisiecki, G Gebbie, B Hamann, LH Kellogg, O Kreylos, M Kronenberger, HJ Spero, GJ Streletz, C Weber",AGU Fall Meeting Abstracts,,0,2015,NA,kz9GbA2Ns4gC,"CD Peterson, LE Lisiecki, G Gebbie, B Hamann, LH Kellogg, O Kreylos, ...",2015
A 3D Immersive Fault Visualizer and Editor,"MB Yikilmaz, J Van Aalsburg, O Kreylos, LH Kellogg, JB Rundle",AGU Fall Meeting Abstracts,,0,2007,NA,70eg2SAEIzsC,"MB Yikilmaz, J van Aalsburg, O Kreylos, LH Kellogg, JB Rundle",2007
A box model for the transport of carbon between major carbon reservoirs over geologic time.,"LH Kellogg, DL Turcotte, HV Lokavarapu",AGU Fall Meeting Abstracts,,0,2018,NA,6ZxmRoH8BuwC,"LH Kellogg, DL Turcotte, HV Lokavarapu",2018
A comparison among observations and earthquake simulator results for the allcal2 California fault model,"TE Tullis, KB Richards-Dinger, M Barall, JH Dieterich, EH Field, EM Heien, LH Kellogg, FF Pollitz, JB Rundle, MK Sachs, DL Turcotte, SN Ward, MB Yikilmaz",Seismological Research Letters,"83 (6), 994-1006",43,2012,7.11894E+18,olpn-zPbct0C,"TE Tullis, K Richards‐Dinger, M Barall, JH Dieterich, EH Field, EM Heien, ...",2012
A Comparison of Methods for Ocean Reconstruction from Sparse Observations,"GJ Streletz, M Kronenberger, C Weber, G Gebbie, H Hagen, C Garth, B Hamann, O Kreylos, LH Kellogg, HJ Spero",AGU Fall Meeting Abstracts,,0,2014,NA,nrtMV_XWKgEC,"GJ Streletz, M Kronenberger, C Weber, G Gebbie, H Hagen, C Garth, ...",2014
A Composite Model for the Simulation of Seismicity,"DL Turcotte, MB Yikilmaz, JB Rundle, EM Heien, LH Kellogg",AGU Fall Meeting Abstracts,,0,2010,NA,ns9cj8rnVeAC,"DL Turcotte, MB Yikilmaz, JB Rundle, E Heien, LH Kellogg",2010
A Decade+ of Open Software Practice at CIG,"LH Kellogg, LJ Hwang",AGU Fall Meeting Abstracts,,0,2018,NA,_5tno0g5mFcC,"LH Kellogg, L Hwang",2018
A fault and seismicity based composite simulation in northern California,"MB Yikilmaz, EM Heien, DL Turcotte, JB Rundle, LH Kellogg",Nonlinear Processes in Geophysics,"18 (6), 955-966",16,2011,4.27485E+18,_xSYboBqXhAC,"MB Yıkılmaz, EM Heien, DL Turcotte, JB Rundle, LH Kellogg",2011
A geoscience perspective on immersive 3D gridded data visualization,"MI Billen, O Kreylos, B Hamann, MA Jadamec, LH Kellogg, O Staadt, DY Sumner",Computers & Geosciences,"34 (9), 1056-1072",70,2008,5.97528E+17,Se3iqnhoufwC,"MI Billen, O Kreylos, B Hamann, MA Jadamec, LH Kellogg, O Staadt, ...",2008
A liquid crystal model for friction,"S Shkoller, CHA Cheng, LH Kellogg, DL Turcotte",AGU Fall Meeting Abstracts,,0,2006,NA,xtRiw3GOFMkC,"S Shkoller, C Cheng, LH Kellogg, DL Turcotte",2006
A liquid-crystal model for friction,"CHA Cheng, LH Kellogg, S Shkoller, DL Turcotte",Proceedings of the National Academy of Sciences,"105 (23), 7930-7935",8,2008,1.72459E+19,qUcmZB5y_30C,"CHA Cheng, LH Kellogg, S Shkoller, DL Turcotte",2008
"A model to quantify mixing and anisotropy in three dimensional, incompressible flow fields","NS Conjeepuram, LH Kellogg, MI Billen",AGU Fall Meeting Abstracts,,0,2008,NA,BqipwSGYUEgC,"N Conjeepuram Subramanian, LH Kellogg, MI Billen",2008
A novel distance measure for ocean reconstruction from sparse observations demonstrated on the Atlantic,"M Kronenberger, C Weber, G Gebbie, O Kreylos, LH Kellogg, L Lisiecki,  C Peterson, HJ Spero, B Hamann, H Hagen",Proceedings of IEEE Scientific Visualization,,0,2015,NA,zLWjf1WUPmwC,"M Kronenberger, C Weber, G Gebbie, O Kreylos, LH Kellogg, LE Lisiecki, ...",2015
A Quantitative Look at the Overshoot Problem in Mantle Convection Simulation,"EH Studley, EM Heien, LH Kellogg, EG Puckett",AGU Fall Meeting Abstracts,,0,2013,NA,LjlpjdlvIbIC,"EH Studley, EM Heien, LH Kellogg, EG Puckett",2013
A Reservoir Model for the Evolution of Deep Carbon in the Earth,"M Weisfeiler, LH Kellogg, DL Turcotte",AGU Fall Meeting Abstracts,,0,2016,NA,Ug5p-4gJ2f0C,"M Weisfeiler, LH Kellogg, DL Turcotte",2016
"A reservoir model study of the flux of carbon from the atmosphere, to the continental crust, to the mantle","LH Kellogg, HV Lokavarapu, DL Turcotte, S Mukhopadhyay",AGU Fall Meeting Abstracts,,0,2017,NA,bz8QjSJIRt4C,"LH Kellogg, HV Lokavarapu, DL Turcotte, S Mukhopadhyay",2017
A Virtual California Earthquake Simulation Test,"MB Yikilmaz, DL Turcotte, G Yakovlev, JB Rundle, LH Kellogg",AGU Fall Meeting Abstracts,,0,2008,NA,SeFeTyx0c_EC,"MB Yikilmaz, DL Turcotte, G Yakovlev, JB Rundle, LH Kellogg",2008
Advances and innovations in models of mantle convection,LH Kellogg,AGU Fall Meeting Abstracts,,0,2002,NA,4OULZ7Gr8RgC,LH Kellogg,2002
Advancing solid earth system science through high-performance computing,"LJ Hwang, T Jordan, LH Kellogg, J Tromp, R Willemann","Computational Infrastructure for Geodynamics, University of California …",,3,2014,1.11353E+19,LO7wyVUgiFcC,"L Hwang, T Jordan, L Kellogg, J Tromp, R Willemann",2014
An Analysis of ASPECT Mantle Convection Simulator Performance and Benchmark Comparisons,"EM Heien, T Heister, W Bangerth, LH Kellogg",AGU Fall Meeting Abstracts,,0,2012,NA,UHK10RUVsp4C,"EM Heien, T Heister, W Bangerth, LH Kellogg",2012
"An Interactive, 3D Fault Editor for VR Environments","J Van Aalsburg, MB Yikilmaz, O Kreylos, LH Kellogg, JB Rundle",AGU Fall Meeting Abstracts,,0,2008,NA,D03iK_w7-QYC,"J van Aalsburg, MB Yikilmaz, O Kreylos, LH Kellogg, JB Rundle",2008
Analysis of emergent fault element behavior in Virtual California,"MT Glasscoe, RA Granat, JB Rundle, PB Rundle, A Donnellan, LH Kellogg",Concurrency and Computation: Practice and Experience,"22 (12), 1665-1683",2,2010,4.71326E+18,dhFuZR0502QC,"MT Glasscoe, RA Granat, JB Rundle, PB Rundle, A Donnellan, ...",2010
